source,normalized_serial,mongo_meter_serial,mongo_name,mongo_status,ami_meter_serial
matched,2778182,2778182,A1-365 TİCARİ 1 KAT. SÜPER MÜH.MEDİKAL,not_found,2778182
matched,2778378,2778378,A5-191 1 KAT TİCARİ OFİS,not_found,2778378
matched,2777069,2777069,B-1 KAT TİCARİ DÜKKAN 44,not_found,2777069
matched,100371470,MSY100371470,ZİRAAT BANKASI ATM,ok,MSY100371470
matched,2778113,2778113,A-059 B-1 TİCARİ KAT  (PROBEX),not_found,2778113
matched,300267031,MSY300267031,WATSONS,ok,MSY300267031
matched,300267029,MSY300267029,VODEFONE 106,ok,MSY300267029
matched,300265749,MSY300265749,TİCARİ CH 1,ok,MSY300265749
matched,2778164,2778164,A1-368 TİCARİ 1 KAT (CLEAR SMİLE),not_found,2778164
matched,300265654,MSY300265654,E BEBEK,ok,MSY300265654
matched,2778303,2778303,A5-181 1 KAT TİCARİ OFİS  (ALLZİN),not_found,2778303
matched,2777411,2777411,A-060 B-1 TİCARİ KAT  (içerde tadilat var),not_found,2777411
matched,2777736,2777736,A1-370 TİCARİ 1 KAT,not_found,2777736
matched,300265471,MSY300265471,A1 YANGIN PANOSU,ok,MSY300265471
matched,300265825,MSY300265825,GARAJ FORM D-8,ok,MSY300265825
matched,2778286,2778286,A5-174 1 KAT TİCARİ OFİS,not_found,2778286
matched,2777725,2777725,A5 TİCARİ ASANSÖR1 172,not_found,2777725
matched,2777707,2777707,A1-372 TİCARİ 1 KAT,not_found,2777707
matched,300264785,MSY300264785,DRY CLEAN ( KURU TEMİZLEME),ok,MSY300264785
matched,2778274,2778274,A5-183 1 KAT TİCARİ OFİS,not_found,2778274
matched,2777285,2777285,A-061 B-1 TİCARİ KAT  AKLIMDAKİ EV (EMLAM),not_found,2777285
matched,300265820,MSY300265820,GARAJ FORM D-10,ok,MSY300265820
matched,300265752,MSY300265752,ARDEN FC 358,ok,MSY300265752
matched,300267330,MSY300267330,PENTİ,ok,MSY300267330
matched,2778266,2778266,A5-177 1 KAT TİCARİ OFİS,not_found,2778266
matched,810026991,MSY810026991,KÖFTECİ YUSUF2,not_found,AEL810026991
matched,300264792,MSY300264792,YENİ YÖNETİM OFİS,ok,MSY300264792
matched,2777124,2777124,B-1 KAT TİCARİ DÜKKAN 43,not_found,2777124
matched,300265465,MSY300265465,A3 A4 JET FAN,ok,MSY300265465
matched,2777718,2777718,A5 TİCARİ ASANSÖR2 173,not_found,2777718
matched,2777096,2777096,DÜKKAN 40 ÜÇAY MÜHENDİSLİK,not_found,2777096
matched,2777101,2777101, A5 TİCARİ OFİS 52,not_found,2777101
matched,300264781,MSY300264781,GARAJ FORM NO 11 (MOTORCULAR),ok,MSY300264781
matched,300267179,MSY300267179,,new_from_ami,MSY300267179
matched,2776620,2776620, A5 TİCARİ OFİS 48,not_found,2776620
matched,2778373,2778373,A-058 B-1 TİCARİ KAT  (KADİR BÜYÜKKAYA),not_found,2778373
matched,2777086,2777086,DÜKKAN 41 ÜÇAY MÜHENDİSLİK,not_found,2777086
matched,300267183,MSY300267183,VODEFONE 109,ok,MSY300267183
matched,810027046,MSY810027046,TİCARİ KAZAN,not_found,AEL810027046
matched,300265755,MSY300265755,GETİR  45,ok,MSY300265755
matched,300265965,MSY300265965,GARAJ FORM D-9,ok,MSY300265965
matched,2776366,2776366, A5 TİCARİ OFİS 49,not_found,2776366
matched,2777723,2777723,A3 TİCARİ ASANSÖR1 175,not_found,2777723
matched,2778269,2778269,A5-178 1 KAT TİCARİ OFİS (İPEK YOLU),not_found,2778269
matched,2777703,2777703,A5-179 1 KAT TİCARİ OFİS (İPEK YOLU),not_found,2777703
matched,2777684,2777684,"A5-189 1 KAT TİCARİ OFİS (CİHANGİR SAĞ, TURZ)",not_found,2777684
matched,2777613,2777613,A5-188 1 KAT TİCARİ OFİS (CEREN SEYHAN),not_found,2777613
matched,300267022,MSY300267022,G12 AS-30  AVM MİTSUBISHI ASANSÖR2 164,ok,MSY300267022
matched,300265728,MSY300265728,,new_from_ami,MSY300265728
matched,2778337,2778337,A5-180 1 KAT TİCARİ OFİS ,not_found,2778337
matched,2778242,2778242,A5-175 1 KAT TİCARİ OFİS,not_found,2778242
