"AMİ Sayaç no","Sıra No","Bölge","Kolayveri cihaz no","Firma adı ve nereye ait","Akım trafo oranı","Çarpan değeri"
"02777742","94","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-185 1 KAT TİCARİ OFİS (HÜSEYİN ÖNDER ALDEMİR)","1","1"
"02777730","95","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-186 1 KAT TİCARİ OFİS","1","1"
"02777607","96","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-187 1 KAT TİCARİ OFİS","1","1"
"02777613","97","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-188 1 KAT TİCARİ OFİS (CEREN SEYHAN)","1","1"
"02777684","98","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-189 1 KAT TİCARİ OFİS (CİHANGİR SAĞ, TURZ)","1","1"
"02777529","99","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-190 1 KAT TİCARİ OFİS","1","1"
"02778378","100","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","A5-191 1 KAT TİCARİ, HENÜZ BOŞ BULUNUYOR","1","1"
"MSY300267469","101","Kat 1-A5 KAT1 ELEKTRİK ODASI","MA-RF-3486-700D","ORTAK ALAN","1","1"
"02778289","102","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-364 TİCARİ 1 KAT  SÜPER MÜH.MEDİKAL","1","1"
"02778182","103","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-365 TİCARİ 1 KAT. SÜPER MÜH.MEDİKAL","1","1"
"02778316","104","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-366 TİCARİ 1 KAT. WE TRADE","1","1"
"02778239","105","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-367 TİCARİ 1 KAT","1","1"
"02778164","106","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-368 TİCARİ 1 KAT (CLEAR SMİLE)","1","1"
"02778247","107","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-369 TİCARİ 1 KAT","1","1"
"02777736","108","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-370 TİCARİ 1 KAT","1","1"
"02777483","109","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-371 TİCARİ 1 KAT GVS","1","1"
"02777707","110","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-372 TİCARİ 1 KAT","1","1"
"02778516","111","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-373 TİCARİ 1 KAT","1","1"
"02777634","112","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-374 TİCARİ 1 KAT","1","1"
"02778299","113","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-375 TİCARİ 1 KAT (ALL NET CONSULTING)","1","1"
"02778735","114","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-376 TİCARİ 1 KAT","1","1"
"02778742","115","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-377 TİCARİ 1 KAT","1","1"
"02778205","116","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-378 TİCARİ 1 KAT (ALU MASTER)","1","1"
"02777641","117","Kat 1-A1 KAT1 ELEKTRİK ODASI","MA-RF-3486-7013","A1-379 TİCARİ 1 KAT","1","1"
"MSY300267014","119","Kat 1-A3 TİCARİ GİRİŞ","MA-RF-3486-700F","DÖHLER ORTAK ALAN","1","1"
"MSY300265737","120","Kat 1-A3 TİCARİ GİRİŞ","MA-RF-3486-700F","DÖHLER 24","400/5","80"
"MSY300265464","121","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","MAC FİT  25-26","800/5","160"
"MSY300265461","122","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","MİGROS 35","400/5","80"
"MSY300265740","123","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","ZERKUBİ KUYUMCU 27","75/5","15"
"02386317","124","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","RİTİM SİWİM","75/5","15"
"02385994","125","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","29 FUNDORA DEPO (RİTİM SİWİM YANI)","75/6","15"
"02386383","126","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","DÜRÜMLE 176","125/5","25"
"02778295","127","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","ESKİ MAZAYA OFİS SAYACI","1","1"
"AEL810028051","128","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","STATEMENT 177","125/5","25"
"MSY300265463","129","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","AYUMİ SUSHİ 179","75/5","15"
"MSY300265572","130","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","VODEFONE 110","75/5","15"
"02777723","131","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","A3 TİCARİ ASANSÖR1 175","1","1"
"02778264","132","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","A3 TİCARİ ASANSÖR2 176","1","1"
"MSY300267472","133","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","TÜKCELL 111","1","1"
"MSY300266992","134","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","TÜRK TELEKOM","1","1"
"MSY300265653","135","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","DÖHLER 173-174-175-180","400/5","80"
"MSY300267458","136","B3-A3 B3 ELEKTRİK ODASI","MA-RF-3486-6DFB","DÖHLER 181 YENİ DÜKKAN (WC YANI SAĞ YÖN)","1","1"
"AEL810043851","137","B3-Trafo 1","MA-RF-3486-6DEE","ANA TRAFO PANASU (TR 1)2 Jeneratör sıstıcı, gövde ve oda fanlar, redrisör, oda aydınlatma","100/5","20"
"AEL810044603","138","B3-Trafo 2","MA-RF-3486-6DEE","ANA TRAFO PANASU (TR 2)2 Jeneratör sıstıcı, gövde ve oda fanlar, redrisör, oda aydınlatma","100/5","20"
"MSY300265721","140","B3-A4 B3 JENERATÖR YANI1","MA-RF-3486-6DEE","YANGIN POMPASI A2 A5 JET FAN","1600/5","320"
"AEL810027046","142","B3-A3 B3 JENERATÖR YANI2","MA-RF-3486-6DEE","TİCARİ KAZAN","1000/5","200"
"MSY300265749","143","B3-A3 B3 JENERATÖR YANI2","MA-RF-3486-6DEE","TİCARİ CİLLER 1","800/5","160"
"MSY300265647","144","B3-A3 B3 JENERATÖR YANI2","MA-RF-3486-6DEE","TİCARİ CİLLER 2","800/5","160"
"MSY300265465","145","B3-A3 B3 JENERATÖR YANI2","MA-RF-3486-6DEE","A3 A4 JET FAN","2500/5","500"
"02386333","146","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-7014","Z-KA-5 161","75/5","15"
"MSY300265819","148","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-7014","TOYZ SHOP 34   30-31-32-33","125/5","25"
"02385962","149","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-7014","NA TAMAAM DÜKKAN 169","75/5","15"
"MSY300267459","150","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-7014","MESCİT 171","1","1"
"02777725","151","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-700C","A5 TİCARİ ASANSÖR1 172","1","1"
"02777718","152","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-700C","A5 TİCARİ ASANSÖR2 173","1","1"
"MSY300267031","153","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-7014","WATSONS 34","1","1"
"02776620","154","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-700C","A5 T.OFİS 48","1","1"
"02776366","155","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-700C","A5 T.OFİS 49","1","1"
"01445451","156","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-700C","A5 T.OFİS 50","1","1"
"02776459","157","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-700C","A5 T.OFİS 51","1","1"
"02777101","158","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-700C","A5 T.OFİS 52","1","1"
"05070283","159","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-700C","A5 T.OFİS 53","1","1"
"05070396","160","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-700C","A5 T.OFİS 54","1","1"
"02386010","161","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-7014","NA TAMAAM DÜKKAN 4","125/5","15"
"MSY300265639","163","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-7014","GARAJ FORM B-3 D-6","75/5","15"
"MSY300265748","164","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-7014","GARAJ FORM B-3 D-7","75/5","15"
"MSY300265825","165","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-7014","GARAJ FORM B-3 D-8","75/5","15"
"MSY300265965","166","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-7014","GARAJ FORM B-3 D-9","75/5","15"
"MSY300265820","167","B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI","MA-RF-3486-7014","GARAJ FORM B-3 D-10","75/5","15"
