Yeni sayaç seri no,Sıra No,Muhatap,Kat,Blok,Bölge,Eski sayaç üretim tarihi,Eski sayaç seri no,Eski sayaç son endeks,Kolayveri cihaz no,Not,Firma adı ve nereye ait,Akım trafo oranı,Çarpan değeri
300265649,65,AVM,B4,A6 Elektrik Odası (N02 Kolon Dibi),B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ),2014,2386296,19586,MA-RF-3486-7026,Sayaç bağlı,MICHIGAN KAFE 01,75/5,15
300264785,66,AVM,B4,A6 Elektrik Odası (N02 Kolon Dibi),B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ),2014,2385741,11971,MA-RF-3486-7026,Sayaç bağlı,DRY CLEAN ( KURU TEMİZLEME) 02,75/5,15
2385964,67,AVM,B4,A6 Elektrik Odası (N02 Kolon Dibi),B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ),,,,MA-RF-3486-7026,Bilinmiyor,HEROS PİZZA DÜKKAN 03,75/5,15
300264777,68,AVM,B4,A6 Elektrik Odası (N02 Kolon Dibi),B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ),2014,2385845,6375,MA-RF-3486-7026,Sayaç bağlı,NEZİH KİTAP EVİ 37,75/5,15
300267172,69,AVM,B4,A6 Elektrik Odası (N02 Kolon Dibi),B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ),2014,2777785,57172,MA-RF-3486-7026,Sayaç bağlı,ECZANE 38,1,1
300264780,70,AVM,B4,A6 Elektrik Odası (N02 Kolon Dibi),B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ),2014,2386069,2732,MA-RF-3486-7026,Sayaç bağlı,NORMOD MOBİLYA 73-74 A-6 BLOK,125/5,25
2386315,71,AVM,B4,A6 Elektrik Odası (N02 Kolon Dibi),B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ),,,,MA-RF-3486-7026,Bilinmiyor,Z-K A-6 BLOK 75,125/5,15
2778223,72,Ticari ve Konut,B1,Bilinmiyor,B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ),2016,2778223,0,MA-RF-3486-7026,Sayaç bağlı,B-1 KAT DÜKKAN 55,1,1
2778165,73,Ticari ve Konut,B1,Bilinmiyor,B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ),2016,2778165,0,MA-RF-3486-7026,Sayaç bağlı,B-1 KAT DÜKKAN 56,1,1
50775584,74,Ticari ve Konut,B1,Bilinmiyor,B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ),,,,MA-RF-3486-7026,Bilinmiyor,B-1 KAT DÜKKAN 57,1,1
300267468,75,Ticari ve Konut,B1,Bilinmiyor,B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ),0,0,0,MA-RF-3486-7026,Sayaç bağlı,SATRANÇ TURNUVASI ALANI 36,1,1
2778373,76,Ticari ve Konut,B1,Bilinmiyor,B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ),2016,2778373,0,MA-RF-3486-7026,Sayaç bağlı,B-1 KAT DÜKKAN 58,1,1
2778113,77,Ticari ve Konut,B1,Bilinmiyor,B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ),2016,2778113,0,MA-RF-3486-7026,Sayaç bağlı,B-1 KAT DÜKKAN 59,1,1
2777411,78,Ticari ve Konut,B1,Bilinmiyor,B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ),2016,2777411,0,MA-RF-3486-7026,Sayaç bağlı,B-1 KAT DÜKKAN 60,1,1
2777285,79,Ticari ve Konut,B1,Bilinmiyor,B4-A6 ELEKTRİK ODASI B4 (N02 KOLON DİBİ),2016,2777285,0,MA-RF-3486-7026,Sayaç bağlı,B-1 KATDÜKKAN 61,1,1
2778370,80,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2778370,0,MA-RF-3486-700D,Sayaç bağlı,A5-171 1 KAT TİCARİ OFİS (DEVATEK),1,1
2778227,81,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2778227,0,MA-RF-3486-700D,Sayaç bağlı,A5-172 1 KAT TİCARİ OFİS (DEVATEK),1,1
2777783,82,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2777783,0,MA-RF-3486-700D,Sayaç bağlı,A5-173 1 KAT TİCARİ OFİS,1,1
2778286,83,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2014,2778286,0,MA-RF-3486-700D,Sayaç bağlı,A5-174 1 KAT TİCARİ OFİS,1,1
2778242,84,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2778242,0,MA-RF-3486-700D,Sayaç bağlı,A5-175 1 KAT TİCARİ OFİS,1,1
2777506,85,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2777506,0,MA-RF-3486-700D,Sayaç bağlı,A5-176 1 KAT TİCARİ OFİS,1,1
2778266,86,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2778266,0,MA-RF-3486-700D,Sayaç bağlı,A5-177 1 KAT TİCARİ OFİS,1,1
2778269,87,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2778269,0,MA-RF-3486-700D,Sayaç bağlı,A5-178 1 KAT TİCARİ OFİS (İPEK YOLU),1,1
2777703,88,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2777703,0,MA-RF-3486-700D,Sayaç bağlı,A5-179 1 KAT TİCARİ OFİS (İPEK YOLU),1,1
2778337,89,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2778337,0,MA-RF-3486-700D,Sayaç bağlı,A5-180 1 KAT TİCARİ OFİS,1,1
2778303,90,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2778303,0,MA-RF-3486-700D,Sayaç bağlı,A5-181 1 KAT TİCARİ OFİS  (ALLZİN),1,1
2777632,91,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2777632,0,MA-RF-3486-700D,Sayaç bağlı,A5-182 1 KAT TİCARİ OFİS (KİN TURKEY),1,1
2778274,92,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2778274,0,MA-RF-3486-700D,Sayaç bağlı,A5-183 1 KAT TİCARİ OFİS,1,1
2777610,93,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2777610,0,MA-RF-3486-700D,Sayaç bağlı,A5-184 1 KAT TİCARİ OFİS,1,1
